title,label
Perubahan atas Peraturan Menteri Keuangan Nomor 137 /PMK.01/2019 tentang Organisasi dan Tata Kerja Badan Pengelola Dana Lingkungan Hidup,"Perubahan, Badan Pengelola Dana Lingkungan Hidup, Organisasi Dan Tatakerja"
"Perubahan atas Peraturan Direktur Jenderal Pajak Nomor PER-07/PJ/2020 tentang Tempat Pendaftaran Wajib Pajak dan Pelaku Usaha Melalui Sistem Elektronik dan/atau Tempat Pelaporan Usaha Pengusaha Kena Pajak pada Kantor Pelayanan Pajak di Lingkungan Kantor Wilayah Direktorat Jenderal Pajak Wajib Pajak Besar, Kantor Pelayanan Pajak di Lingkungan Kantor Wilayah Direktorat Jenderal Pajak Jakarta Khusus, dan Kantor Pelayanan Pajak Madya","Tempat Pendaftaran, Pendaftaran Dan Pelaporan, Pengusaha Kena Pajak, Wajib Pajak Besar"
"Penetapan Pengusaha Kena Pajak Berisiko Rendah dan Pelaksanaan Pengembalian Pendahuluan Kelebihan Pajak terhadap Wajib Pajak Kriteria Tertentu, Wajib Pajak Persyaratan Tertentu, dan Pengusaha Kena Pajak Berisiko Rendah serta Special Purpose Company atau Kontrak Investasi Kolektif sebagai Pengusaha Kena Pajak Berisiko Rendah","Pengusaha Kena Pajak Berisiko Rendah, Kontrak Investasi Kolektif, Pengembalian Pendahuluan"
Perubahan atas Peraturan Menteri Keuangan Nomor 127/PMK.02/2020 tentang Tata Cara Penggunaan dan Pergeseran Anggaran pada Bagian Anggaran Bendahara Umum Negara Pengelolaan Belanja Lainnya (BA 999.08),"Perubahan, Bendahara Umum Negara, Belanja Lainnya"
Pengukuran dan Evaluasi Kinerja Anggaran atas Pelaksanaan Rencana Kerja dan Anggaran Kementerian Negara/ Lembaga,"Evaluasi Kinerja, Anggaran Kementerian Negara/Lembaga, Rencana Kerja Dan Anggaran"
Pajak Pertambahan Nilai atas Penyerahan Rumah Tapak dan Unit Hunian Rumah Susun yang Ditanggung Pemerintah Tahun Anggaran 2021,"Pajak Pertambahan Nilai, Hunian Rumah Susun, Tahun Anggaran 2021"
Pajak Penjualan Atas Barang Mewah Atas Penyerahan Barang Kena Pajak Yang Tergolong Mewah Berupa Kendaraan Bermotor Tertentu Yang Ditanggung Pemerintah Tahun Anggaran 2021,"Pajak Penjualan Atas Barang Mewah, Kendaraan Bermotor, Tahun Anggaran 2021"
"Penggunaan, Pemantauan, dan Evaluasi Dana Bagi Hasil Sumber Daya Alam Kehutanan Dana Reboisasi.","Sumber Daya Alam Kehutanan, Dana Reboisasi, Dana Bagi Hasil"
"Pelaksanaan Undang-Undang Nomor 11 Tahun 2020 tentang Cipta Kerja di Bidang Pajak Penghasilan, Pajak Pertambahan Nilai dan Pajak Penjualan atas Barang Mewah, serta Ketentuan Umum dan Tata Cara Perpajakan","Peraturan Pelaksanaan, Cipta Kerja, Tatacara Perpajakan"
Pengelolaan Transfer ke Daerah dan Dana Desa Tahun Anggaran 2021 dalam rangka Mendukung Penanganan Pandemi Corona Virus Disease 2019 (COVID-19) dan Dampaknya,"Transfer Ke Daerah, Dana Desa, Covid-19"
Perubahan Atas Peraturan Presiden Nomor 99 Tahun 2020 tentang Pengadaan Vaksin dan Pelaksanaan Vaksinasi Dalam Rangka Penanggulangan Pandemi Corona Virus Disease 2019 (COVID-19),"Perubahan, Vaksin, Covid-19"
"Tata Cara Penyediaan, Pencairan, dan Pertanggungjawaban Dana Kompensasi atas Kekurangan Penerimaan Badan Usaha Akibat Kebijakan Penetapan Harga Jual Eceran Bahan Bakar Minyak dan Tarif Tenaga Listrik","Dana Kompensasi, Harga Jual Eceran, Bahan Bakar Minyak"
Penyelesaian Piutang Instansi Pemerintah yang Diurus/Dikelola oleh Panitia Urusan Piutang Negara/Direktorat Jenderal Kekayaan Negara dengan Mekanisme Crash Program Tahun Anggaran 2021.,"Penyelesaian Piutang, Panitia Urusan Piutang Negara, Mekanisme Crash Program"
Tarif Layanan Badan Layanan Umum Rumah Sakit Bhayangkara Tingkat III Bandar Lampung pada Kepolisian Negara Republik Indonesia,"Tarif Layanan Blu, Rumah Sakit Bhayangkara, Kepolisian Negara Republik Indonesia"
Perlakuan Perpajakan atas Transaksi yang Melibatkan Lembaga Pengelola Investasi dan/atau Entitas yang Dimilikinya,"Perlakuan Perpajakan, Lembaga Pengelola Investasi, Transaksi, Cipta Kerja"
Kemudahan Proyek Strategis Nasional,Proyek Strategis Nasional
Penyelenggaraan Kawasan Ekonomi Khusus,"Kawasan Ekonomi, Khusus, Penyelenggaraan"
Tata Cara Pengenaan Sanksi Administratif dan Tata Cara Penerimaan Negara Bukan Pajak yang Berasal dari Denda Administratif di Bidang Kehutanan,"Sanksi Administratif, Penerimaan Negara Bukan Pajak, Denda Administrasi, Cipta Kerja"
Penertiban Kawasan dan Tanah Telantar,"Tanah Terlantar, Penertiban, Kawasan"
Penyelenggaraan Pengadaan Tanah bagi Pembangunan untuk Kepentingan Umum,"Pengadaan Tanah, Penyelenggaraan, Kepentingan Umum"
Penyelenggaraan Rumah Susun,"Penyelenggaraan, Hunian Rumah Susun"
Pajak Daerah dan Retribusi Daerah Dalam Rangka Mendukung Kemudahan Berusaha dan Layanan Daerah,"Pajak Daerah, Retribusi Daerah, Eodb, Cipta Kerja"
Perlakuan Perpajakan Untuk Mendukung Kemudahan Berusaha,"Eodb, Perpajakan, Cipta Kerja"
"Modal Dasar Perseroan serta Pendaftaran Pendirian, Perubahan, dan Pembubaran Perseroan yang Memenuhi Kriteria untuk usaha Mikro dan Kecil","Usaha Mikro, Modal Dasar, Perseroan"
"Kemudahan, Pelindungan, dan Pemberdayaan Koperasi dan Usaha Mikro, Kecil, dan Menengah","Usaha Mikro/Kecil, Perlindungan, Koperasi"
Penyelenggaraan Perizinan Berusaha di Daerah,"Daerah, Penyelenggaraan, Perizinan Berusaha"
Penyelenggaraan Perizinan Berusaha Berbasis Risiko,"Perizinan Berusaha, Berbasis Risiko, Penyelenggaraan"
Perubahan atas Peraturan Presiden Nomor 16 Tahun 2018 tentang Pengadaan Barang/Jasa Pemerintah,"Perubahan, Pengadaan Barang/Jasa, Instansi Pemerintah, Cipta Kerja"
Penyelenggaraan Kawasan Perdagangan Bebas dan Pelabuhan Bebas,"Kawasan Perdagangan Bebas, Pelabuhan Bebas, Penyelenggaraan"
Tarif Layanan Badan Layanan Umum Politeknik Pelayaran Banten pada Kementerian Perhubungan,"Tarif Layanan Blu, Kementerian Perhubungan, Politeknik Pelayaran Banten"
Tarif Layanan Badan Layanan Umum Politeknik Pelayaran Barombong pada Kementerian Perhubungan,"Tarif Layanan Blu, Kementerian Perhubungan, Politeknik Pelayaran Barombong"
"Pengenaan Bea Masuk Anti Dumping terhadap Impor Produk Biaxially Oriente Polyethylene Terephtalate (BOPET) dari Negara India, Republik Rakyat Tiongkok, dan Thailand","Bea Masuk Anti Dumping, Biaxially Oriented Polyethylene Terephtalate, Thailand"
Pengenaan Bea Masuk Tindakan Pengamanan terhadap Impor Produk Karpet dan Tekstil Penutup Lantai Lainnya,"Bea Masuk, Tekstil, Tindakan Pengamanan"
Insentif Pajak untuk Wajib Pajak Terdampak Pandemi Corona Virus Disease 2019,"Covid-19, Insentif Pajak, Wajib Pajak"
"Tata Cara Pemungutan, Penyetoran dan Pelaporan Pajak Pertambahan Nilai atau Pajak Pertambahan Nilai  dan Pajak Penjualan Atas Barang Mewah oleh Badan Usaha Milik Negara dan Perusahaan Tertentu Yang Dimiliki Secara Langsung oleh Badan Usaha Milik Negara sebagai Pemungut Pajak Pertambahan Nilai","Pajak Pertambahan Nilai, Pajak Penjualan Atas Barang Mewah, Badan Usaha Milik Negara"
Tata Cara Pembayaran dan Penyaluran Dana Pengadaan Vaksin dalam rangka Penanggulangan Pandemi Corona Virus Disease 2019 (COVID-19) dalam Valuta Asing,"Covid-19, Vaksin, Valuta Asing"
"Penghitungan dan Pemungutan Pajak Pertambahan Nilai serta Pajak Penghasilan atas Penyerahan/Penghasilan Sehubungan dengan Penjualan Pulsa, Kartu Perdana, Token, dan Voucer","Pajak Pertambahan Nilai, Pajak Penghasilan, Kartu Perdana"
Tarif Layanan Badan Layanan Umum Universitas Negeri Makassar pada Kementerian Pendidikan dan Kebudayaan,"Tarif Layanan Blu, Kementerian Pendidikan Dan Kebudayaan, Universitas Negeri Makassar"
"Pembayaran Bea Meterai, Ciri Umum dan Ciri Khusus Meterai Tempel, Meterai Dalam Bentuk Lain, dan Penentuan Keabsahan Meterai, Serta Pemeteraian Kemudian","Bea Meterai, Pemeteraian, Meterai Tempel Baru"
Perubahan atas Peraturan Menteri Keuangan Nomor 149/PMK.08/2018 tentang Pembelian Kembali Surat Utang Negara,"Perubahan, Surat Utang Negara, Pembelian Kembali"
Tata Cara Pemberian Penghargaan dan/ atau Pengenaan Sanksi atas Kinerja Anggaran Kementerian Negara/Lembaga,"Pemberian Penghargaan, Kinerja Anggaran, Kementerian Negara/Lembaga"
Tarif Layanan Badan Layanan Umum Pusat Investasi Pemerintah pada Kementerian Keuangan,"Tarif Layanan Blu, Pusat Investasi Pemerintah, Kementerian Keuangan"
Tunjangan Jabatan Fungsional Pranata Keuangan Anggaran Pendapatan dan Belanja Negara,"Jabatan Fungsional, Tunjangan, Pranata Keuangan Apbn"
Tunjangan Jabatan Fungsional Analis Perbendaharaan Negara,"Tunjangan, Jabatan Fungsional, Analis Perbendaharaan Negara"
Tunjangan Jabatan Fungsional Analis Pengelolaan Keuangan Anggaran Pendapatan dan Belanja Negara,"Tunjangan, Jabatan Fungsional, Analis Pengelolaan Keuangan
Apbn"
Tunjangan Jabatan Fungsional Pembina Teknis Perbendaharaan Negara,"Tunjangan, Jabatan Fungsional, Pembina Teknis Perbendaharaan Negara"
Tata Cara Pemeriksaan Penerimaan Negara Bukan Pajak,"Pemeriksaan, Pnbp, Penerimaan Negara Bukan Pajak"
Dana Operasional Badan Penyelenggara Jaminan Sosial Ketenagakerjaan Tahun 2021,"Dana Operasional, Badan Penyelenggara Jaminan Sosial, Tahun Anggaran 2021"
Dana Operasional Badan Penyelenggara Jaminan Sosial Kesehatan Tahun 2021,"Badan Penyelenggara Jaminan Sosial, Kesehatan, Dana Operasional"
"Pemberian Fasilitas Pajak terhadap Barang dan Jasa yang Diperlukan dalam rangka Penanganan Pandemi Corona Virus Disease 2019 dan Perpanjangan
Pemberlakuan Fasilitas Pajak Penghasilan Berdasarkan Peraturan Pemerintah Nomor 29 Tahun 2020 tentang Fasilitas Pajak Penghasilan dalam rangka Penanganan Corona Virus Disease 2019 (COVID-19)","Pajak Penghasilan, Fasilitas Pajak, Covid-19"
Perubahan atas Peraturan Menteri Keuangan Nomor 175/PMK.01/2016 tentang Pedoman Pelaksanaan Analisis Beban Kerja (Workload Analysis) di Lingkungan Kementerian Keuangan,"Perubahan, Analisis Beban Kerja, Kementerian Keuangan"
"Perlakuan Perpajakan, Kepabeanan, dan Cukai pada Kawasan Ekonomi Khusus","Kawasan Ekonomi, Perpajakan, Kepabeanan"
Perubahan atas Peraturan Menteri Keuangan Nomor 202/PMK.010/2017 tentang Pelaksanaan Perlakuan Pajak Penghasilan yang Didasarkan pada Ketentuan dalam Perjanjian Internasional,"Perubahan, Perjanjian Internasional, Pajak Penghasilan"
Organisasi Internasional dan Pejabat Perwakilan Organisasi Internasional yang Tidak Termasuk Subjek Pajak Penghasilan,"Pajak Penghasilan, Organisasi Internasional, Perwakilan Organisasi Internasional"
Kebijakan Akuntansi Pemerintah Pusat,"Kebijakan Akuntansi, Pemerintah Pusat"
"Perubahan atas Peraturan Menteri Keuangan Nomor 139/PMK.07 /2019  tentang Pengelolaan Dana Bagi Hasil Dana Alokasi Umum, dan Dana Otonomi Khusus","Perubahan, Dana Bagi Hasil, Dana Otonomi Khusus"
"Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 71/PMK.02/2013 tentang Pedoman Standar Biaya, Standar Struktur Biaya, dan Indeksasi dalam Penyusunan Rencana Kerja dan Anggaran Kementerian Negara/Lembaga","Perubahan Kedua, Standar Biaya, Anggaran Kementerian Negara/Lembaga"
"Tata Cara Penyampaian Informasi Keuangan Daerah, Laporan Data Bulanan, dan Laporan Pemerintah Daerah Lainnya","Keuangan Daerah, Laporan, Pemerintah Daerah"
Rincian Dana Bagi Hasil Cukai Hasil Tembakau Menurut Daerah Provinsi/Kabupaten/Kota Tahun Anggaran 2021,"Dana Bagi Hasil, Cukai Hasil Tembakau, Tahun Anggaran 2021"
Perubahan atas Peraturan Menteri Keuangan Nomor 70/PMK.05/2018 tentang Tata Cara Pembayaran Pensiun yang Belum Dibayarkan,"Perubahan, Tatacara Pembayaran, Pensiun"
Pengakumulasian Cadangan Pooling Fund Bencana pada Sisa Lebih Pembiayaan Anggaran Tahun Anggaran 2020,"Tahun Anggaran 2020, Bencana, Pembiayaan"
Aktuaris,Aktuaris
Perubahan atas Peraturan Menteri Keuangan Nomor 184/PMK.01/2018 tentang Pemenuhan Kebutuhan Pegawai Negeri Sipil melalui Penerimaan Mahasiswa Program Diploma Bidang Keuangan Politeknik Keuangan Negara STAN dan Mekanisme Ikatan Dinas bagi Lulusan Program Diploma Bidang Keuangan Politeknik Keuangan Negara STAN,"Politeknik Keuangan Negara, Perubahan, Pegawai Negeri Sipil"
Sistem Penerimaan Negara secara Elektronik,"Penerimaan Negara, Elektronik, Sistem"
Manajemen Karier di Lingkungan Kementerian Keuangan,"Manajemen, Jabatan Karier, Kementerian Keuangan"
Statuta Politeknik Keuangan Negara STAN,"Politeknik Keuangan Negara, Stan, Statuta"
Pengelolaan Dana Desa,"Dana Desa, Pengelolaan"
"Pernyataan Standar Akuntansi Pemerintahan Berbasis Akrual Nomor 10 Kebijakan Akuntansi, Perubahan Kebijakan Akuntansi, Kesalahan, Perubahan Estimasi Akuntansi, dan Operasi yang Dihentikan (Revisi 2020)","Standar Akuntansi Pemerintah, Berbasis Akrual, Kebijakan Akuntansi"
Tata Cara Penghitungan dan Pemungutan Pajak Pertambahan Nilai atas Penyerahan Liquefied Petroleum Gas Tertentu,"Pajak Pertambahan Nilai, Liquefied Petroleum Gas, Penghitungan"
Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 35/PMK.07 /2020 tentang Pengelolaan Transfer ke Daerah dan Dana Desa Tahun Anggaran 2020 dalam rangka Penanganan Pandemi Corona Virus Disease 2019 (COVID-19) dan/atau Menghadapi Ancaman yang Membahayakan Perekonomian Nasional,"Perubahan Kedua, Covid-19, Transfer Ke Daerah"
Penilaian Usulan Indikasi Kebutuhan Dana Pengeluaran Bendahara Umum Negara Bagian Anggaran Pengelolaan Investasi Pemerintah,"Bendahara Umum Negara, Dana Pengeluaran, Pengelolaan Investasi Pemerintah"
"Pelaksanaan Anggaran dalam rangka Penyelesaian Pekerjaan pada Masa Pandemi Corona Virus Disease 2019 yang Tidak Terselesaikan sampai dengan Akhir Tahun Anggaran 2020 dan akan Dilanjutkan pada
Tahun Anggaran 2021","Covid-19, Penyelesaian Pekerjaan, Anggaran"
"Bentuk dan Tata Cara Pembuatan Bukti Pemotongan/Pemungutan Unifikasi serta Bentuk, Isi, Tata Cara Pengisian dan Penyampaian Surat Pemberitahuan Masa Pajak Penghasilan Unifikasi",Pajak Penghasilan
"Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 130/PMK.02/2015 tentang Tata Cara Penyediaan Anggaran, Penghitungan, Pembayaran, dan Pertanggungjawaban Dana Subsidi Jenis Bahan Bakar Minyak Tertentu","Perubahan Kedua, Dana Subsidi, Bahan Bakar Minyak Tertentu"
"Perubahan atas Peraturan Menteri Keuangan Nomor 116/PMK.02/2016 tentang Tata Cara Penyediaan Anggaran, Penghitungan, Pembayaran, dan Pertanggungjawaban Dana Subsidi Liquefied Petroleum Gas (LPG) Tabung 3 Kilogram","Perubahan, Dana Subsidi, Liquefied Petroleum Gas"
Tarif Layanan Badan Layanan Umum Balai Besar Bahan dan Barang Teknik pada Kementerian Perindustrian,"Tarif Layanan Blu, Balai Besar Bahan Dan Barang Teknik, Kementerian Perindustrian"
Petunjuk Pelaksanaan Lelang,"Petunjuk Pelaksanaan, Lelang"
Perubahan atas Peraturan Menteri Keuangan Nomor 156/PMK.05/2019 tentang Dana Perhitungan Fihak Ketiga,"Perubahan, Dana Perhitungan, Pihak Ketiga"
Tata Cara Pemberian Penjaminan Pemerintah untuk Badan Usaha Milik Negara dalam rangka Pelaksanaan Program Pemulihan Ekonomi Nasional,"Penjaminan Pemerintah, Badan Usaha Milik Negara, Program Pen"
Tarif Layanan Badan Layanan Umum Politeknik Transportasi Darat Bali pada Kementerian Perhubungan,"Tarif Layanan Blu, Politeknik Transportasi Darat, Kementerian Perhubungan"
Tarif Layanan Badan Layanan Umum Rumah Sakit Tingkat II Pelamonia pada Kementerian Pertahanan,"Tarif Layanan Blu, Rumah Sakit Tingkat Ii, Kementerian Pertahanan"
Tata Cara Revisi Anggaran Tahun Anggaran 2021,"Tata Cara, Revisi Anggaran, Tahun Anggaran 2021"
Tata Cara Penundaan Penyaluran Dana Transfer Umum atas Pemenuhan Kewajiban Pemerintah Daerah untuk Mengalokasikan Belanja Wajib,"Belanja Wajib, Dana Transfer Umum, Penundaan"
"Penggunaan, Pemantauan, dan Evaluasi Dana Bagi Hasil Cukai Hasil Tembakau","Dana Bagi Hasil, Cukai Hasil Tembakau, Evaluasi"
Pencacahan dan Potongan atas Etil Alkohol dan Minuman yang Mengandung Etil Alkohol,"Minuman Mengandung Etil Alkohol, Etil Alkohol, Pencacahan"
Piloting Pembayaran Dalam Rangka Pelaksanaan Anggaran Pendapatan dan Belanja Negara Melalui Platform Pembayaran Pemerintah,"Piloting Sistem, Pelaksanaan Anggaran, Pembayaran, Anggaran Pendapatan Dan Belanja Negara"
Tata Cara Pembayaran dan Pertanggungjawaban Anggaran Penelitian atas Beban Anggaran Pendapatan dan Belanja Negara,"Anggaran Pendapatan Dan Belanja Negara, Penelitian, Pertanggungjawaban"
Tata Cara Pembayaran Gaji dan Tunjangan Pegawai Pemerintah dengan Perjanjian Kerja yang Dibebankan Pada Anggaran Pendapatan dan Belanja Negara,"Tatacara Pembayaran, Gaji, Tunjangan, Pegawai, Anggaran Pendapatan Dan Belanja Negara"
Deklarasi Inisiatif (Voluntary Declaration) dan Pembayaran Inisiatif (Voluntary Payment),"Deklarasi Inisiatif, Pembayaran"
Penetapan Tarif Nol Rupiah atas Layanan Permohonan Perubahan Hal yang Tercantum dalam Sertifikat Jaminan Fidusia yang Berlaku pada Kementerian Hukum dan Hak Asasi Manusia pada masa Pandemi Corona Virus Disease 2019 (COVID-19),"Tarif Nol Rupiah, Jaminan Fidusia, Covid-19"
Pengelolaan Indonesia National Single Window dan Penyelenggaraan Sistem Indonesia National Single Window,"Indonesia National Single Window, Sistem, Penyelenggaraan"
Lembaga Pengelola Investasi,"Lembaga Pengelola Investasi, Cipta Kerja"
Modal Awal Lembaga Pengelola Investasi,"Lembaga Pengelola Investasi, Modal Awal, Cipta Kerja"
Tarif Cukai Hasil Tembakau,"Tarif Cukai, Cukai Hasil Tembakau"
Perubahan Kedua atas Peraturan Menteri Keuangan Nomor 48/PMK.07/2019 tentang Pengelolaan Dana Alokasi Khusus Nonfisik,"Perubahan Kedua, Dana Alokasi Khusus, Nonfisik"
Penambahan Investasi Pemerintah Republik Indonesia pada Lembaga Keuangan Internasional Tahun Anggaran 2020,"Investasi Pemerintah, Lembaga Keuangan Internasional, Tahun Anggaran 2020"
Penetapan Logo Sistem Inti Administrasi Perpajakan,Logo
Lelang Surat Berharga Syariah Negara di Pasar Perdana Domestik,"Pasar Perdana Domestik, Surat Berharga Syariah Negara, Lelang"
"Tata Cara Penyelesaian Piutang Negara yang Bersumber dari Penerusan Pinjaman Luar Negeri, Rekening Dana Investasi, dan Rekening Pembangunan Daerah pada Badan Usaha Milik Daerah Tertentu","Piutang Negara, Pinjaman Luar Negeri, Badan Usaha Milik Daerah Tertentu"
Pembiayaan Ultra Mikro,"Pembiayaan, Ultra Mikro"
Tata Cara Penetapan Tarif atas Jenis Penerimaan Negara Bukan Pajak,"Penerimaan Negara Bukan Pajak, Penetapan Tarif, Jenis Penerimaan"
Strategi Nasional Keuangan lnklusif,"Inklusif, Strategi, Bidang Keuangan"
Tarif Layanan Badan Layanan Umum Universitas Jambi pada Kementerian Pendidikan dan Kebudayaan,"Tarif Layanan Blu, Universitas Jambi, Kementerian Pendidikan Dan Kebudayaan"
Perubahan atas Peraturan Menteri Keuangan Nomor 57/PMK.05/2020 tentang Tarif Layanan Badan Layanan Umum Badan Pengelola Dana Perkebunan Kelapa Sawit pada Kementerian Keuangan,"Perubahan, Tarif Layanan Blu, Badan Pengelola Dana Perkebunan Kelapa Sawit"
Rincian Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2021,"Anggaran Pendapatan Dan Belanja Negara, Tahun Anggaran 2021, Rincian"
Logo Kementerian Keuangan,"Kementerian Keuangan, Logo"
Tata Cara Pelaksanaan Penagihan Pajak atas Jumlah Pajak yang Masih Harus Dibayar,"Penagihan Pajak, Tata Cara Pelaksanaan"
Pemberian Fasilitas Kepabeanan dan/ atau Cukai serta Perpajakan atas Impor Pengadaan Vaksin dalam rangka Penanganan Pandemi Corona Virus Disease 2019 (COVID-19),"Covid-19, Fasilitas Pabean, Impor Pengadaan Vaksin"
"Tata Cara Penerbitan Surat Berharga Negara dalam rangka Penanganan Dampak Pandemi Corona Virus Disease 2019 (COVID-19) dan Pemulihan Ekonomi Nasional Tahun 2020, serta Penggunaan Sisa Dana Penerbitan Surat Berharga Negara Tahun 2020 dalam rangka Pembiayaan Pelaksanaan Lanjutan Kegiatan Penanganan Pandemi Corona Virus Disease 2019 (COVID-19) dan Pemulihan Ekonomi Nasional Tahun
2021","Program Pen, Covid-19, Surat Berharga Negara"
Tata Cara Pengesahan Laporan Pengelolaan Program dan Laporan Keuangan Tahunan Badan Penyelenggara Jaminan Sosial,"Badan Penyelenggara Jaminan Sosial, Laporan Keuangan, Pengesahan"
Pengelolaan Anggaran dalam rangka Penanganan Pandemi Corona Virus Disease 2019 (COVID-19) dan/atau Program Pemulihan Ekonomi Nasional,"Covid-19, Program Pen, Anggaran"
Perubahan atas Peraturan Menteri Keuangan Nomor 210/PMK.01/2017 tentang Organisasi dan Tata Kerja Instansi Vertikal Direktorat Jenderal Pajak,"Perubahan, Instansi Vertikal, Direktorat Jenderal Pajak"
Perubahan atas Peraturan Menteri Keuangan Nomor 188/PMK.01/2016 tentang Organisasi dan Tata Kerja Instansi Vertikal Direktorat Jenderal Bea dan Cukai,"Perubahan, Instansi Vertikal, Direktorat Jenderal Bea Dan Cukai"
Pedoman Penunjukan Pelaksana Tugas dan/atau Pelaksana Harian di Lingkungan Kementerian Keuangan,"Pelaksana Tugas, Pelaksana Harian, Kementerian Keuangan"
Tarif Layanan Badan Layanan Umum Rumah Sakit Tingkat III Ciremai pada Kementerian Pertahanan,"Tarif Layanan Blu, Kementerian Pertahanan, Rumah Sakit Tingkat Iii"
